
source: SS-35 2377 A, target: SS-34 2375 A, value: 3.92


source: SS-35 2377 A, target: SS-36 2376 A, value: 6.23


source: SS-35 2377 A, target: DK+32 2390 A, value: 7.92


source: SS-34 2375 A, target: SS-35 2377 A, value: 3.92


source: SS-36 2376 A, target: SS-35 2377 A, value: 6.23


source: DK+32 2390 A, target: SS-35 2377 A, value: 7.92


source: DK+32 2390 A, target: DK-33 1023 A, value: 6.54


source: DK+32 2390 A, target: HC+25 1902 A, value: 6.83


source: DK+32 2390 A, target: Oneil 723  A, value: 7.65


source: HC-30 0340 A, target: DK+29 3074  A, value: 6.77


source: HC-30 0340 A, target: SS+28 9357 A, value: 7.63


source: HC-30 0340 A, target: Chien 820  A, value: 4.9


source: DK+29 3074  A, target: HC-30 0340 A, value: 6.77


source: DK+29 3074  A, target: SS+28 9357 A, value: 4.47


source: DK+29 3074  A, target: Chien 820  A, value: 5.7


source: DK+29 3074  A, target: SS-22 4654 A, value: 5.92


source: DK+29 3074  A, target: SS-22 4654 B, value: 5.92


source: SS+28 9357 A, target: HC-30 0340 A, value: 7.63


source: SS+28 9357 A, target: DK+29 3074  A, value: 4.47


source: SS+28 9357 A, target: Chien 820  A, value: 6.01


source: DK-33 1023 A, target: DK+32 2390 A, value: 6.54


source: DK-33 1023 A, target: HC+25 1902 A, value: 5.37


source: DK-33 1023 A, target: SS-27 6854 A, value: 6.7


source: DK-33 1023 A, target: HC-24 1124 A, value: 7.57


source: L 1064-75 A, target: L 1113-55 A, value: 0.1


source: L 1064-75 A, target: AC+3 2528-176 A, value: 7.38


source: L 1064-75 A, target: DM-1 3474 A, value: 5.05


source: L 1113-55 A, target: L 1064-75 A, value: 0.1


source: L 1113-55 A, target: AC+3 2528-176 A, value: 7.37


source: L 1113-55 A, target: DM-1 3474 A, value: 5.1


source: DK+21 6825A, target: Oneil 723  A, value: 6.55


source: DK+21 6825A, target: SS-19 2424  A, value: 7.85


source: HC+25 1902 A, target: DK+32 2390 A, value: 6.83


source: HC+25 1902 A, target: DK-33 1023 A, value: 5.37


source: HC+25 1902 A, target: Oneil 723  A, value: 5.56


source: HC+25 1902 A, target: HC-24 1124 A, value: 5.22


source: HC+25 1902 A, target: BK-5 9201 A, value: 5.18


source: HC+25 1902 A, target: HC-4 9701 Kaa'a'ah A, value: 6.28


source: AC+3 2528-176 A, target: L 1064-75 A, value: 7.38


source: AC+3 2528-176 A, target: L 1113-55 A, value: 7.37


source: AC+3 2528-176 A, target: Delta Aquilae A, value: 7.92


source: AC+3 2528-176 A, target: Delta Aquilae B, value: 7.92


source: Chien 820  A, target: HC-30 0340 A, value: 4.9


source: Chien 820  A, target: DK+29 3074  A, value: 5.7


source: Chien 820  A, target: SS+28 9357 A, value: 6.01


source: Chien 820  A, target: SS-22 4654 A, value: 6.32


source: Chien 820  A, target: SS-22 4654 B, value: 6.32


source: Chien 820  A, target: HC+18 9881 A, value: 7.6


source: Chien 820  A, target: BK+15 3434 A, value: 7.15


